"filename", "language", "JSON", "C#", "comment", "blank", "total"
"d:\LanguageLearnig\C#\ChatServer\.vs\ChatServer\v17\DocumentLayout.json", "JSON", -206, 0, 0, 0, -206
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\ChannelExtensions.cs", "C#", 0, 2, 0, 0, 2
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\Protobuf\ChatRelationProtocol.cs", "C#", 0, 261, 6, 22, 289
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\Protobuf\ChatUserProtocol.cs", "C#", 0, 590, 16, 61, 667
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\ChatServer.Common.csproj.nuget.dgspec.json", "JSON", 5, 0, 0, 0, 5
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\project.assets.json", "JSON", 5, 0, 0, 0, 5
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\ChatServerDbContext.cs", "C#", 0, 0, 0, 1, 1
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\DataEntity\FriendRelation.cs", "C#", 0, 2, 0, 1, 3
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\DataEntity\FriendRequest.cs", "C#", 0, -5, 0, 0, -5
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataToProtoProfile.cs", "C#", 0, 5, 0, 3, 8
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\Migrations\20250123151515_init.Designer.cs", "C#", 0, -117, -2, -37, -156
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\Migrations\20250123151515_init.cs", "C#", 0, -110, -3, -12, -125
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\Migrations\20250126040237_sacurityQuestion.Designer.cs", "C#", 0, -152, -2, -49, -203
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\Migrations\20250126040237_sacurityQuestion.cs", "C#", 0, -64, -3, -9, -76
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\Migrations\20250126044330_FriendRelation.Designer.cs", "C#", 0, -185, -2, -60, -247
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\Migrations\20250126044330_FriendRelation.cs", "C#", 0, -50, -3, -5, -58
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\Migrations\20250126073001_FriendRequest.Designer.cs", "C#", 0, -185, -2, -60, -247
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\Migrations\20250126073001_FriendRequest.cs", "C#", 0, -14, -3, -6, -23
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\Migrations\20250126073248_FriendRequest_1.Designer.cs", "C#", 0, -228, -2, -76, -306
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\Migrations\20250126073248_FriendRequest_1.cs", "C#", 0, -59, -3, -6, -68
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\Migrations\20250126150837_chatPrivate_1.Designer.cs", "C#", 0, -228, -2, -76, -306
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\Migrations\20250126150837_chatPrivate_1.cs", "C#", 0, -50, -3, -10, -63
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\Migrations\20250127064706_FriendRequest_2.Designer.cs", "C#", 0, -230, -2, -77, -309
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\Migrations\20250127064706_FriendRequest_2.cs", "C#", 0, -23, -3, -4, -30
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\Migrations\20250131110141_init_1.Designer.cs", "C#", 0, 237, 2, 80, 319
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\Migrations\20250131110141_init_1.cs", "C#", 0, 227, 3, 23, 253
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\Migrations\ChatServerDbContextModelSnapshot.cs", "C#", 0, 7, 0, 3, 10
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\obj\ChatServer.DataBase.csproj.nuget.dgspec.json", "JSON", 10, 0, 0, 0, 10
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\obj\project.assets.json", "JSON", 5, 0, 0, 0, 5
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\App.cs", "C#", 0, 1, 0, 0, 1
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\IOServer\Manager\ClientChannelManager.cs", "C#", 0, 5, 0, 0, 5
