"filename", "language", "XML", "C#", "JSON", "Properties", "comment", "blank", "total"
"d:\LanguageLearnig\C#\ChatServer\.idea\.idea.ChatServer\.idea\encodings.xml", "XML", 4, 0, 0, 0, 0, 0, 4
"d:\LanguageLearnig\C#\ChatServer\.idea\.idea.ChatServer\.idea\indexLayout.xml", "XML", 8, 0, 0, 0, 0, 0, 8
"d:\LanguageLearnig\C#\ChatServer\.vs\ChatServer\config\applicationhost.config", "XML", 907, 0, 0, 0, 61, 54, 1022
"d:\LanguageLearnig\C#\ChatServer\.vs\ChatServer\v17\DocumentLayout.json", "JSON", 0, 0, 658, 0, 0, 0, 658
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\ChannelExtensions.cs", "C#", 0, 22, 0, 0, 0, 2, 24
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\ChatServer.Common.csproj", "XML", 15, 0, 0, 0, 0, 5, 20
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\Helper\ProtobufHelper.cs", "C#", 0, 74, 0, 0, 31, 10, 115
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\Protobuf\ChatBaseProtocol.cs", "C#", 0, 254, 0, 0, 8, 42, 304
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\Protobuf\ChatCommunicateProtocol.cs", "C#", 0, 308, 0, 0, 10, 44, 362
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\Protobuf\ChatLoginProtocol.cs", "C#", 0, 559, 0, 0, 25, 79, 663
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\Protobuf\ChatRelationProtocol.cs", "C#", 0, 1265, 0, 0, 47, 143, 1455
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\Protobuf\ChatUserProtocol.cs", "C#", 0, 1678, 0, 0, 60, 198, 1936
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\bin\Debug\net6.0\ChatServer.Common.deps.json", "JSON", 0, 0, 41, 0, 0, 0, 41
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\bin\Debug\net6.0\Common.deps.json", "JSON", 0, 0, 41, 0, 0, 0, 41
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\bin\Debug\net6.0\Protobuf_Common.deps.json", "JSON", 0, 0, 41, 0, 0, 0, 41
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\bin\Debug\net8.0\ChatServer.Common.deps.json", "JSON", 0, 0, 232, 0, 0, 0, 232
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\CHCommon.csproj.nuget.dgspec.json", "JSON", 0, 0, 93, 0, 0, 0, 93
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\CHCommon.csproj.nuget.g.props", "XML", 16, 0, 0, 0, 0, 0, 16
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\CHCommon.csproj.nuget.g.targets", "XML", 2, 0, 0, 0, 0, 0, 2
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\ChatServer.Common.csproj.nuget.dgspec.json", "JSON", 0, 0, 87, 0, 0, 0, 87
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\ChatServer.Common.csproj.nuget.g.props", "XML", 16, 0, 0, 0, 0, 0, 16
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\ChatServer.Common.csproj.nuget.g.targets", "XML", 2, 0, 0, 0, 0, 0, 2
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Common.csproj.nuget.dgspec.json", "JSON", 0, 0, 93, 0, 0, 0, 93
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Common.csproj.nuget.g.props", "XML", 16, 0, 0, 0, 0, 0, 16
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Common.csproj.nuget.g.targets", "XML", 2, 0, 0, 0, 0, 0, 2
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net6.0\.NETCoreApp,Version=v6.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 1, 1, 5
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net6.0\CHCommon.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 10, 5, 24
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net6.0\CHCommon.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 13, 0, 1, 14
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net6.0\CHCommon.GlobalUsings.g.cs", "C#", 0, 7, 0, 0, 1, 1, 9
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net6.0\ChatServer.Common.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 10, 5, 24
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net6.0\ChatServer.Common.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 13, 0, 1, 14
