Date : 2025-02-10 17:46:09
Directory : d:\LanguageLearnig\C#\ChatServer
Total : 186 files,  27445 codes, 1738 comments, 1541 blanks, all 30724 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |         36 |     17,748 |          0 |          0 |     17,748 |
| C#         |        108 |      8,229 |      1,677 |      1,449 |     11,355 |
| XML        |         28 |      1,286 |         61 |         78 |      1,425 |
| Properties |         14 |        182 |          0 |         14 |        196 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                   |        186 |     27,445 |      1,738 |      1,541 |     30,724 |
| .idea                                                                                                                               |          2 |         12 |          0 |          0 |         12 |
| .idea\.idea.ChatServer                                                                                                              |          2 |         12 |          0 |          0 |         12 |
| .idea\.idea.ChatServer\.idea                                                                                                        |          2 |         12 |          0 |          0 |         12 |
| .vs                                                                                                                                 |          2 |      1,565 |         61 |         54 |      1,680 |
| .vs\ChatServer                                                                                                                      |          2 |      1,565 |         61 |         54 |      1,680 |
| .vs\ChatServer\config                                                                                                               |          1 |        907 |         61 |         54 |      1,022 |
| .vs\ChatServer\v17                                                                                                                  |          1 |        658 |          0 |          0 |        658 |
| ChatServer.Common                                                                                                                   |         43 |      5,672 |        238 |        560 |      6,470 |
| ChatServer.Common (Files)                                                                                                           |          2 |         37 |          0 |          7 |         44 |
| ChatServer.Common\Helper                                                                                                            |          1 |         74 |         31 |         10 |        115 |
| ChatServer.Common\Protobuf                                                                                                          |          5 |      4,064 |        150 |        506 |      4,720 |
| ChatServer.Common\bin                                                                                                               |          4 |        355 |          0 |          0 |        355 |
| ChatServer.Common\bin\Debug                                                                                                         |          4 |        355 |          0 |          0 |        355 |
| ChatServer.Common\bin\Debug\net6.0                                                                                                  |          3 |        123 |          0 |          0 |        123 |
| ChatServer.Common\bin\Debug\net8.0                                                                                                  |          1 |        232 |          0 |          0 |        232 |
| ChatServer.Common\obj                                                                                                               |         31 |      1,142 |         57 |         37 |      1,236 |
| ChatServer.Common\obj (Files)                                                                                                       |         14 |        991 |          0 |          0 |        991 |
| ChatServer.Common\obj\Debug                                                                                                         |         17 |        151 |         57 |         37 |        245 |
| ChatServer.Common\obj\Debug\net6.0                                                                                                  |         13 |        119 |         45 |         29 |        193 |
| ChatServer.Common\obj\Debug\net8.0                                                                                                  |          4 |         32 |         12 |          8 |         52 |
| ChatServer.DataBase                                                                                                                 |         48 |      7,096 |      1,073 |        538 |      8,707 |
| ChatServer.DataBase (Files)                                                                                                         |          2 |         55 |          0 |         12 |         67 |
| ChatServer.DataBase\DataBase                                                                                                        |         27 |      1,424 |      1,043 |        327 |      2,794 |
| ChatServer.DataBase\DataBase (Files)                                                                                                |          4 |         82 |         13 |         19 |        114 |
| ChatServer.DataBase\DataBase\DataEntity                                                                                             |          6 |        175 |          2 |         43 |        220 |
| ChatServer.DataBase\DataBase\Repository                                                                                             |          6 |         85 |          0 |         12 |         97 |
| ChatServer.DataBase\DataBase\UnitOfWork                                                                                             |         11 |      1,082 |      1,028 |        253 |      2,363 |
| ChatServer.DataBase\DataBase\UnitOfWork (Files)                                                                                     |          7 |        929 |        847 |        215 |      1,991 |
| ChatServer.DataBase\DataBase\UnitOfWork\Collections                                                                                 |          4 |        153 |        181 |         38 |        372 |
| ChatServer.DataBase\Migrations                                                                                                      |          3 |        699 |          6 |        183 |        888 |
| ChatServer.DataBase\bin                                                                                                             |          3 |      1,713 |          0 |          0 |      1,713 |
| ChatServer.DataBase\bin\Debug                                                                                                       |          3 |      1,713 |          0 |          0 |      1,713 |
| ChatServer.DataBase\bin\Debug\net6.0                                                                                                |          1 |        582 |          0 |          0 |        582 |
| ChatServer.DataBase\bin\Debug\net8.0                                                                                                |          2 |      1,131 |          0 |          0 |      1,131 |
| ChatServer.DataBase\obj                                                                                                             |         13 |      3,205 |         24 |         16 |      3,245 |
| ChatServer.DataBase\obj (Files)                                                                                                     |          5 |      3,141 |          0 |          0 |      3,141 |
| ChatServer.DataBase\obj\Debug                                                                                                       |          8 |         64 |         24 |         16 |        104 |
| ChatServer.DataBase\obj\Debug\net6.0                                                                                                |          4 |         32 |         12 |          8 |         52 |
| ChatServer.DataBase\obj\Debug\net8.0                                                                                                |          4 |         32 |         12 |          8 |         52 |
| ChatServer.Main                                                                                                                     |         57 |      7,564 |        288 |        301 |      8,153 |
| ChatServer.Main (Files)                                                                                                             |          4 |        154 |          5 |         21 |        180 |
| ChatServer.Main\IOServer                                                                                                            |          3 |        216 |         38 |         43 |        297 |
| ChatServer.Main\IOServer\Manager                                                                                                    |          1 |        103 |         22 |         20 |        145 |
| ChatServer.Main\IOServer\ServerHandler                                                                                              |          2 |        113 |         16 |         23 |        152 |
| ChatServer.Main\MessageOperate                                                                                                      |         15 |        812 |        174 |        149 |      1,135 |
| ChatServer.Main\MessageOperate (Files)                                                                                              |          4 |        264 |         79 |         51 |        394 |
| ChatServer.Main\MessageOperate\Processor                                                                                            |          8 |        480 |         94 |         89 |        663 |
| ChatServer.Main\MessageOperate\Server                                                                                               |          3 |         68 |          1 |          9 |         78 |
| ChatServer.Main\ServerEntity                                                                                                        |          3 |         85 |          0 |         18 |        103 |
| ChatServer.Main\Services                                                                                                            |          4 |        215 |         25 |         40 |        280 |
| ChatServer.Main\Services (Files)                                                                                                    |          3 |        151 |         15 |         32 |        198 |
| ChatServer.Main\Services\Helper                                                                                                     |          1 |         64 |         10 |          8 |         82 |
| ChatServer.Main\bin                                                                                                                 |          3 |      1,331 |          0 |          0 |      1,331 |
| ChatServer.Main\bin\Debug                                                                                                           |          3 |      1,331 |          0 |          0 |      1,331 |
| ChatServer.Main\bin\Debug\net8.0                                                                                                    |          3 |      1,331 |          0 |          0 |      1,331 |
| ChatServer.Main\obj                                                                                                                 |         25 |      4,751 |         46 |         30 |      4,827 |
| ChatServer.Main\obj (Files)                                                                                                         |         11 |      4,629 |          0 |          0 |      4,629 |
| ChatServer.Main\obj\Debug                                                                                                           |         14 |        122 |         46 |         30 |        198 |
| ChatServer.Main\obj\Debug\net6.0                                                                                                    |         10 |         90 |         34 |         22 |        146 |
| ChatServer.Main\obj\Debug\net8.0                                                                                                    |          4 |         32 |         12 |          8 |         52 |
| ChatServer.Test                                                                                                                     |         14 |      2,548 |         12 |         29 |      2,589 |
| ChatServer.Test (Files)                                                                                                             |          3 |         90 |          0 |         21 |        111 |
| ChatServer.Test\bin                                                                                                                 |          2 |        626 |          0 |          0 |        626 |
| ChatServer.Test\bin\Debug                                                                                                           |          2 |        626 |          0 |          0 |        626 |
| ChatServer.Test\bin\Debug\net8.0                                                                                                    |          2 |        626 |          0 |          0 |        626 |
| ChatServer.Test\obj                                                                                                                 |          9 |      1,832 |         12 |          8 |      1,852 |
| ChatServer.Test\obj (Files)                                                                                                         |          5 |      1,800 |          0 |          0 |      1,800 |
| ChatServer.Test\obj\Debug                                                                                                           |          4 |         32 |         12 |          8 |         52 |
| ChatServer.Test\obj\Debug\net8.0                                                                                                    |          4 |         32 |         12 |          8 |         52 |
| SocketServer                                                                                                                        |         20 |      2,988 |         66 |         59 |      3,113 |
| SocketServer (Files)                                                                                                                |          2 |         75 |         34 |         21 |        130 |
| SocketServer\Server                                                                                                                 |          3 |        114 |          8 |         22 |        144 |
| SocketServer\bin                                                                                                                    |          2 |      1,156 |          0 |          0 |      1,156 |
| SocketServer\bin\Debug                                                                                                              |          2 |      1,156 |          0 |          0 |      1,156 |
